personaLabel	genderLabel	age	coord	articolo
Accursio Montalbano	maschio	64	Point(13.088888888 37.509166666)	https://it.wikipedia.org/wiki/Accursio_Montalbano
Achille Bonito Oliva	maschio	80	Point(15.5 40.566666666)	https://it.wikipedia.org/wiki/Achille_Bonito_Oliva
Achille Lollo	maschio	68	Point(12.482777777 41.893055555)	https://it.wikipedia.org/wiki/Achille_Lollo
Achille Mezzadri	maschio	74	Point(11.933333333 45.666666666)	https://it.wikipedia.org/wiki/Achille_Mezzadri
Achille Occhetto	maschio	83	Point(7.7 45.066666666)	https://it.wikipedia.org/wiki/Achille_Occhetto
Achille Ottaviani	maschio	69	Point(10.993741666 45.438158333)	https://it.wikipedia.org/wiki/Achille_Ottaviani
Achille Passoni	maschio	68	Point(9.190336 45.464161)	https://it.wikipedia.org/wiki/Achille_Passoni
Achille Perilli	maschio	92	Point(12.482777777 41.893055555)	https://it.wikipedia.org/wiki/Achille_Perilli
Achille Rossi	maschio	79	Point(12.2403118 43.4574214)	https://it.wikipedia.org/wiki/Achille_Rossi
Achille Rossi	maschio	79	Point(12.231388888 43.47)	https://it.wikipedia.org/wiki/Achille_Rossi
Achille Serra	maschio	78	Point(12.482777777 41.893055555)	https://it.wikipedia.org/wiki/Achille_Serra
Achille Totaro	maschio	54	Point(11.254166666 43.771388888)	https://it.wikipedia.org/wiki/Achille_Totaro
Achille Variati	maschio	66	Point(11.55 45.55)	https://it.wikipedia.org/wiki/Achille_Variati
Achille Varzi	maschio	61	Point(8.7 45.483333333)	https://it.wikipedia.org/wiki/Achille_Varzi_(filosofo)
Ada Febbraio	femmina	29	Point(14.25 40.833333333)	https://it.wikipedia.org/wiki/Ada_Febbraio
Ada Maria Serra Zanetti	femmina	78	Point(11.342777777 44.493888888)	https://it.wikipedia.org/wiki/Ada_Maria_Serra_Zanetti
Ada Pometti	femmina	77	Point(15.087269444 37.502669444)	https://it.wikipedia.org/wiki/Ada_Pometti
Ada Spadoni Urbani	femmina	73	Point(12.733333333 42.733333333)	https://it.wikipedia.org/wiki/Ada_Spadoni_Urbani
Adalberto Bortolotti	maschio	83	Point(11.342777777 44.493888888)	https://it.wikipedia.org/wiki/Adalberto_Bortolotti
Adalberto Falletta	maschio	71	Point(9.190336 45.464161)	https://it.wikipedia.org/wiki/Adalberto_Falletta
Adalberto Lombardo	maschio	28	Point(9.190336 45.464161)	https://it.wikipedia.org/wiki/Adalberto_Lombardo
Adalberto Maria Merli	maschio	81	Point(12.482777777 41.893055555)	https://it.wikipedia.org/wiki/Adalberto_Maria_Merli
Adamo Antonacci	maschio	44	Point(11.254166666 43.771388888)	https://it.wikipedia.org/wiki/Adamo_Antonacci
Adamo Dionisi	maschio	54	Point(12.482777777 41.893055555)	https://it.wikipedia.org/wiki/Adamo_Dionisi
Adele Ammendola	femmina	56	Point(14.25 40.833333333)	https://it.wikipedia.org/wiki/Adele_Ammendola
Adele Pandolfi	femmina	60	Point(14.122222222 40.823055555)	https://it.wikipedia.org/wiki/Adele_Pandolfi
Adele Pellegatta	femmina	54	Point(12.4795 41.9081)	https://it.wikipedia.org/wiki/Adele_Pellegatta
Adelino Zanini	maschio	65	Point(11.31148 45.19287)	https://it.wikipedia.org/wiki/Adelino_Zanini
Adelio Terraroli	maschio	88	Point(10.220280555 45.538888888)	https://it.wikipedia.org/wiki/Adelio_Terraroli
Adelmo Togliani	maschio	44	Point(12.482777777 41.893055555)	https://it.wikipedia.org/wiki/Adelmo_Togliani
Adolfo Battaglia	maschio	89	Point(12.104166666 42.418611111)	https://it.wikipedia.org/wiki/Adolfo_Battaglia
Adolfo Fenoglio	maschio	81	Point(9.190336 45.464161)	https://it.wikipedia.org/wiki/Adolfo_Fenoglio
Adolfo Manis	maschio	74	Point(8.5372353 39.3102613)	https://it.wikipedia.org/wiki/Adolfo_Manis
Adolfo Margiotta	maschio	56	Point(14.395277777 40.785277777)	https://it.wikipedia.org/wiki/Adolfo_Margiotta
Adolfo Urso	maschio	62	Point(11.877777777 45.406388888)	https://it.wikipedia.org/wiki/Adolfo_Urso
Adolivio Capece	maschio	72	Point(9.190336 45.464161)	https://it.wikipedia.org/wiki/Adolivio_Capece
Adorno Corradini	maschio	65	Point(12.079166666 42.310555555)	https://it.wikipedia.org/wiki/Adorno_Corradini
Adria Bartolich	femmina	61	Point(9.1 45.816666666)	https://it.wikipedia.org/wiki/Adria_Bartolich
Adriana Asti	femmina	86	Point(9.190336 45.464161)	https://it.wikipedia.org/wiki/Adriana_Asti
Adriana Cavarero	femmina	72	Point(7.85 44.7)	https://it.wikipedia.org/wiki/Adriana_Cavarero
Adriana Ceci	femmina	77	Point(16.283333333 41.316666666)	https://it.wikipedia.org/wiki/Adriana_Ceci
Adriana Destro	femmina	82	Point(10.993741666 45.438158333)	https://it.wikipedia.org/wiki/Adriana_Destro
Adriana Galgano	femmina	56	Point(9.190336 45.464161)	https://it.wikipedia.org/wiki/Adriana_Galgano
Adriana Giuffrè	femmina	80	Point(12.482777777 41.893055555)	https://it.wikipedia.org/wiki/Adriana_Giuffr%C3%A8
